"shot_id","shot_made_flag"
1,0.304
8,0.482
17,0.682
20,0.912
33,0.248
34,0.568
35,0.436
36,0.492
37,0.728
38,0.3
45,0.324
50,0.292
55,0.348
60,0.31
66,0.308
67,0.312
71,0.284
80,0.248
85,0.192
86,0.456
95,0.528
104,0.31
113,0.454
123,0.37
126,0.814
133,0.58
141,0.244
144,0.49
150,0.642
152,0.49
153,0.68
156,0.218
159,0.966
165,0.696
172,0.352
182,0.818
192,0.332
193,0.77
196,0.242
202,0.344
210,0.284
211,0.558
228,0.976
257,0.276
260,0.256
264,0.346
267,0.578
279,0.942
282,0.39
293,0.298
299,0.862
300,0.492
301,0.712
317,0.332
327,0.438
328,0.266
335,0.1
346,0.822
348,0.248
365,0.182
390,0.51
391,0.862
392,0.824
397,0.324
418,0.392
428,0.238
434,0.46
439,0.624
440,0.206
456,0.502
459,0.166
472,0.334
480,0.158
491,0.192
497,0.522
509,0.408
511,0.542
523,0.136
533,0.394
544,0.244
546,0.29
555,0.84
558,0.296
560,0.372
573,0.318
591,0.424
596,0.338
597,0.35
601,0.506
605,0.392
617,0.324
628,0.26
634,0.352
646,0.244
649,0.488
651,0.75
654,0.942
656,0.278
657,0.57
669,0.362
670,0.948
693,0.682
694,0.346
699,0.334
711,0.358
718,0.348
722,0.19
723,0.376
725,0.78
734,0.3
735,0.646
737,0.822
746,0.194
747,0.346
766,0.292
767,0.366
771,0.318
773,0.222
774,0.464
783,0.33
784,0.374
789,0.214
792,0.348
804,0.414
809,0.342
812,0.286
813,0.442
817,0.52
820,0.314
825,0.462
826,0.328
829,0.428
855,0.396
859,0.884
862,0.36
870,0.142
876,0.426
880,0.38
886,0.986
889,0.858
891,0.488
897,0.974
902,0.278
903,0.458
908,0.37
909,0.434
920,0.332
922,0.25
924,0.496
932,0.394
934,0.368
937,0.456
941,0.206
943,0.312
950,0.46
952,0.294
954,0.936
963,0.408
975,0.376
979,0.306
981,0.346
983,0.144
985,0.592
989,0.61
995,0.448
998,0.376
1008,0.134
1019,0.618
1023,0.334
1026,0.302
1029,0.656
1034,0.926
1036,0.644
1038,0.192
1039,0.478
1051,0.476
1052,0.27
1066,0.172
1087,0.394
1092,0.188
1094,0.754
1098,0.4
1099,0.414
1102,0.298
1118,0.38
1131,0.326
1133,0.728
1135,0.99
1138,0.772
1139,0.892
1142,0.416
1151,0.392
1152,0.264
1155,0.582
1165,0.244
1167,0.872
1172,0.636
1174,0.708
1180,0.368
1200,0.436
1202,0.36
1227,0.506
1228,0.458
1229,0.232
1237,0.38
1241,0.512
1256,0.14
1279,0.324
1293,0.066
1295,0.42
1319,0.904
1320,0.356
1321,0.85
1322,0.752
1334,0.276
1351,0.72
1373,0.342
1375,0.264
1380,0.474
1382,0.728
1385,0.53
1399,0.262
1403,0.834
1428,0.224
1434,0.442
1444,0.988
1448,0.354
1466,0.852
1476,0.38
1478,0.342
1485,0.424
1491,0.56
1494,0.55
1500,0.184
1501,0.728
1503,0.518
1519,0.7
1524,0.384
1529,0.73
1533,0.68
1538,0.998
1539,0.324
1546,0.566
1555,0.302
1559,0.472
1563,0.782
1565,0.85
1574,0.224
1591,0.316
1594,0.266
1605,0.224
1611,0.546
1614,0.314
1620,0.34
1626,0.32
1630,0.38
1632,0.368
1634,0.298
1643,0.25
1651,0.446
1655,0.364
1658,0.432
1659,0.518
1665,0.308
1675,0.524
1680,0.838
1690,0.438
1696,0.248
1714,0.272
1721,0.452
1726,0.588
1728,0.404
1734,0.256
1735,0.366
1740,0.424
1744,0.88
1747,0.406
1752,0.282
1763,0.702
1765,0.774
1769,0.308
1785,0.732
1787,0.352
1788,0.47
1793,0.412
1800,0.378
1825,0.322
1826,0.86
1834,0.332
1843,0.364
1844,0.356
1848,0.282
1849,0.27
1860,0.408
1863,0.372
1875,0.558
1883,0.386
1890,0.394
1892,0.378
1893,0.342
1897,0.312
1905,0.488
1908,0.582
1931,0.236
1940,0.86
1943,0.364
1947,0.174
1965,0.682
1967,0.488
1968,0.344
1972,0.882
1982,0.302
1985,0.332
2005,0.792
2010,0.74
2021,0.37
2024,0.776
2036,0.336
2043,0.63
2047,0.542
2049,0.47
2055,0.206
2065,0.578
2066,0.252
2070,0.334
2077,0.882
2085,0.692
2095,0.546
2097,0.668
2108,0.506
2112,0.704
2113,0.608
2122,0.134
2139,0.454
2144,0.518
2146,0.276
2148,0.06
2149,0.862
2157,0.238
2159,0.234
2168,0.422
2176,0.474
2178,0.596
2181,0.192
2187,0.844
2188,0.288
2190,0.232
2194,0.15
2197,0.23
2214,0.336
2217,0.164
2222,0.484
2223,0.306
2226,0.394
2230,0.734
2240,0.438
2247,0.53
2250,0.506
2259,0.434
2262,0.378
2266,0.342
2305,0.366
2310,0.332
2313,0.236
2319,0.904
2320,0.714
2345,0.286
2350,0.81
2356,0.414
2360,0.726
2370,0.434
2386,0.576
2398,0.238
2414,0.624
2435,0.9
2439,0.148
2446,0.8
2458,0.332
2465,0.304
2466,0.406
2470,0.274
2495,0.842
2501,0.256
2507,0.218
2533,0.11
2537,0.396
2538,0.15
2541,0.264
2542,0.87
2544,0.794
2554,0.176
2555,0.136
2565,0.548
2575,0.714
2586,0.508
2588,0.46
2594,0.606
2617,0.5
2618,0.354
2623,0.986
2631,0.678
2640,0.142
2642,0.788
2647,0.402
2663,0.474
2664,0.348
2676,0.318
2680,0.888
2681,0.45
2691,0.32
2693,0.444
2695,0.466
2704,0.224
2708,0.248
2709,0.968
2717,0.892
2722,0.374
2728,0.568
2732,0.852
2743,0.554
2752,0.412
2757,0.76
2761,0.104
2769,0.102
2771,0.264
2774,0.296
2776,0.306
2781,0.33
2793,0.28
2799,0.318
2803,0.374
2811,0.45
2818,0.288
2824,0.658
2828,0.854
2829,0.332
2830,0.204
2842,0.85
2847,0.68
2848,0.354
2868,0.408
2870,0.262
2885,0.124
2886,0.35
2889,0.454
2903,0.408
2904,0.704
2918,0.802
2919,0.372
2922,0.262
2923,0.32
2931,0.372
2945,0.442
2955,0.318
2957,0.54
2960,0.726
2963,0.372
2966,0.86
2972,0.622
2974,0.328
2982,0.144
2984,0.486
3016,0.398
3021,0.246
3023,0.868
3025,0.448
3029,0.33
3034,0.502
3038,0.284
3040,0.434
3051,0.898
3062,0.292
